Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.006500,-62.911500,0.000000,top
"C2","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.122000,-62.911500,0.000000,top
"C3","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",100.000000,-71.500000,-90.000000,top
"C4","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",198.000000,-51.500000,180.000000,top
"C20","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",101.372500,-107.697500,0.000000,top
"C21","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.692500,-107.697500,0.000000,top
"C22","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.012500,-107.697500,0.000000,top
"C23","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.332500,-107.697500,0.000000,top
"C24","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",182.652500,-107.697500,0.000000,top
"C25","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",202.972500,-107.697500,0.000000,top
"D1","1N4148","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.000000,-71.500000,90.000000,top
"F1","1A","Fuseholder_5x20mm_15mm_Pins",71.000000,-125.000000,90.000000,top
"F2","2A","Fuseholder_5x20mm_15mm_Pins",83.000000,-68.100000,90.000000,top
"J1","Main Supply","PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",82.000000,-123.000000,0.000000,top
"J2","XFMR_Out","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",59.500000,-111.000000,-90.000000,top
"J3","XFMR_In","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",62.000000,-57.000000,-90.000000,top
"J4","Conn_Button","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",206.545000,-54.021500,-90.000000,top
"J5","UART0","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",181.376500,-63.521500,0.000000,top
"J6","I2C","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",181.376500,-54.631500,0.000000,top
"J20","Station_0","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",103.560000,-123.000000,0.000000,top
"J21","Station_1","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",123.880000,-123.000000,0.000000,top
"J22","Station_2","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",144.200000,-123.000000,0.000000,top
"J23","Station_3","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",164.520000,-123.000000,0.000000,top
"J24","Station_4","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",184.840000,-123.000000,0.000000,top
"J25","Station_5","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",202.184000,-123.000000,0.000000,top
"K1","G3MB-202P","RELAY_G3MB-202P",84.400000,-88.340000,90.000000,top
"K20","G5LE-1-DC5","Relay_SPDT_Omron-G5LE-1",103.910000,-83.197500,0.000000,top
"K21","G5LE-1-DC5","Relay_SPDT_Omron-G5LE-1",124.230000,-83.197500,0.000000,top
"K22","G5LE-1-DC5","Relay_SPDT_Omron-G5LE-1",144.550000,-83.197500,0.000000,top
"K23","G5LE-1-DC5","Relay_SPDT_Omron-G5LE-1",164.870000,-83.197500,0.000000,top
"K24","G5LE-1-DC5","Relay_SPDT_Omron-G5LE-1",185.190000,-83.197500,0.000000,top
"K25","G5LE-1-DC5","Relay_SPDT_Omron-G5LE-1",205.510000,-83.197500,0.000000,top
"LED1","IO2","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.909500,-57.806500,180.000000,top
"LED2","PWR","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.029500,-52.726500,180.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.000000,-71.500000,-90.000000,top
"R2","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.000000,-71.500000,-90.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.049500,-52.218500,180.000000,top
"R4","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.049500,-54.250500,180.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",198.045000,-64.021500,180.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",198.045000,-66.521500,180.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.049500,-56.282500,180.000000,top
"R8","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.049500,-58.314500,180.000000,top
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",197.957500,-59.021500,180.000000,top
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",198.045000,-61.521500,180.000000,top
"R11","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.989500,-57.806500,0.000000,top
"R12","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.109500,-52.726500,0.000000,top
"R13","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",198.000000,-54.000000,0.000000,top
"R14","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",198.000000,-56.500000,0.000000,top
"R20","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",106.490000,-107.697500,0.000000,top
"R21","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",126.810000,-107.697500,0.000000,top
"R22","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.130000,-107.697500,0.000000,top
"R23","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",167.450000,-107.697500,0.000000,top
"R24","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.770000,-107.697500,0.000000,top
"R25","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.090000,-107.697500,0.000000,top
"RV20","68V","RV_Disc_D15.5mm_W5.4mm_P7.5mm",99.990000,-112.917500,0.000000,top
"RV21","68V","RV_Disc_D15.5mm_W5.4mm_P7.5mm",120.310000,-112.917500,0.000000,top
"RV22","68V","RV_Disc_D15.5mm_W5.4mm_P7.5mm",140.630000,-112.917500,0.000000,top
"RV23","68V","RV_Disc_D15.5mm_W5.4mm_P7.5mm",160.950000,-112.917500,0.000000,top
"RV24","68V","RV_Disc_D15.5mm_W5.4mm_P7.5mm",181.270000,-112.917500,0.000000,top
"RV25","68V","RV_Disc_D15.5mm_W5.4mm_P7.5mm",201.470000,-112.777500,0.000000,top
"SW1","EN","SW_Push_SPST_NO_Alps_SKRK",170.962500,-53.223000,0.000000,top
"SW2","BOOT","SW_Push_SPST_NO_Alps_SKRK",170.907500,-57.298500,0.000000,top
"TP1","Gnd","TestPoint_Pad_D1.5mm",105.000000,-74.000000,0.000000,top
"TP2","5V","TestPoint_Pad_D1.5mm",110.000000,-74.000000,0.000000,top
"TP3","3v3","TestPoint_Pad_D1.5mm",115.000000,-74.000000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",129.814500,-70.531500,-90.000000,top
"U2","EL817","SOP-4_3.8x4.1mm_P2.54mm",95.000000,-63.770000,0.000000,top
"U3","HLK-PM01","Converter_ACDC_Hi-Link_HLK-PMxx",63.000000,-99.000000,90.000000,top
"U4","ESP32-WROOM-32U","ESP32-WROOM-32U",146.959500,-62.426500,0.000000,top
"U5","ULN2803A","SOIC-18W_7.5x11.6mm_P1.27mm",167.914500,-69.031500,-90.000000,top
